resultId,raceId,driverId,constructorId,number,grid,position,positionText,positionOrder,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId,unified_main_points,year,round,circuitId,driver_form,team_form,driver_experience,q_rel_gap,qual_pos,dob,driverRef,age_at_race,sprint_target,circuit_avg_pos,driver_encoded
25146,1061,1,131,44,0.1,1,1,1,25.0,52,1:58:23.284,7103284,45,2,1:29.699,236.430,1,25,2021,10,9,0.43200000000000005,0.5380434782608696,0.6825,0.008975304040189896,0.0,1985-01-07,hamilton,0.7083333333333334,2.0,0.11578947368421053,345
25242,1065,1,131,44,0.2,\N,R,17,0.0,25,\N,\N,3,14,1:25.870,242.864,4,0,2021,14,14,0.7040000000000001,0.7391304347826088,0.6925,0.0,0.05263157894736842,1985-01-07,hamilton,0.7083333333333334,5.0,0.22556390977443608,345
25326,1071,1,131,44,0.5,1,1,1,25.0,71,1:32:22.851,5542851,46,2,1:11.982,215.503,1,25,2021,19,18,0.568,0.7010869565217392,0.705,0.0,0.0,1985-01-07,hamilton,0.7083333333333334,5.0,0.29959514170040485,345
25478,1077,1,131,44,0.7000000000000001,13,13,13,0.0,62,\N,\N,50,13,1:21.419,217.054,11,0,2022,4,21,0.568,0.7119565217391305,0.7225,0.4726143421795595,0.631578947368421,1985-01-07,hamilton,0.7499999999999999,14.0,0.02631578947368421,345
25608,1084,1,131,44,0.4,3,3,3,15.0,71,+41.217,5105529,63,5,1:09.000,225.286,1,15,2022,11,70,0.44799999999999995,0.5869565217391305,0.74,0.2244376170844814,0.42105263157894735,1985-01-07,hamilton,0.7499999999999999,8.0,0.16315789473684209,345
25807,1095,1,131,44,0.1,2,2,2,18.0,71,+1.529,5915573,63,2,1:13.942,209.791,1,18,2022,21,18,0.46399999999999997,0.5380434782608696,0.765,0.09037723322876863,0.3684210526315789,1985-01-07,hamilton,0.7499999999999999,3.0,0.2781954887218045,345
25911,1101,1,131,44,0.25,6,6,6,8.0,51,+46.145,5608581,48,7,1:45.346,205.141,1,8,2023,4,73,0.44799999999999995,0.5923913043478262,0.7775,0.18540504175363035,0.21052631578947367,1985-01-07,hamilton,0.7916666666666666,7.0,0.22807017543859648,345
26013,1107,1,131,44,0.25,8,8,8,4.0,71,+49.196,5182803,48,9,1:09.160,224.765,1,4,2023,9,70,0.488,0.5543478260869565,0.79,0.19029312376168955,0.21052631578947367,1985-01-07,hamilton,0.7916666666666666,10.0,0.15789473684210525,345
26069,1110,1,131,44,0.15000000000000002,4,4,4,13.0,44,+49.671,5000121,44,1,1:47.305,234.978,1,12,2023,12,13,0.512,0.5597826086956522,0.7975,0.04945686897908589,0.15789473684210525,1985-01-07,hamilton,0.7916666666666666,7.0,0.3651315789473684,345
26184,1115,1,131,44,0.15000000000000002,\N,R,19,0.0,0,\N,\N,\N,0,\N,\N,4,0,2023,17,78,0.424,0.41847826086956524,0.81,0.2797554978649016,0.10526315789473684,1985-01-07,hamilton,0.7916666666666666,5.0,0.0,345
26204,1116,1,131,44,0.15000000000000002,\N,D,19,0.0,56,\N,\N,42,4,1:39.582,199.301,2,0,2023,18,69,0.32799999999999996,0.37500000000000006,0.8125,0.0,0.10526315789473684,1985-01-07,hamilton,0.7916666666666666,2.0,0.04210526315789474,345
26233,1118,1,131,44,0.25,8,8,8,4.0,71,+1:02.859,7071753,59,12,1:14.739,207.554,1,4,2023,20,18,0.344,0.4293478260869566,0.8175,0.08349436719960016,0.21052631578947367,1985-01-07,hamilton,0.7916666666666666,7.0,0.2631578947368421,345
26373,1125,1,131,44,0.9,9,9,9,2.0,56,+57.986,6110540,34,14,1:40.835,194.610,1,2,2024,5,17,0.096,0.27717391304347827,0.835,0.19512552744955985,0.894736842105263,1985-01-07,hamilton,0.8333333333333334,2.0,0.14979757085020243,345
26390,1126,1,131,44,0.4,6,6,6,8.0,57,+16.585,5466461,54,7,1:31.233,213.554,1,8,2024,6,79,0.096,0.23913043478260873,0.8375,0.12126581609938553,0.3684210526315789,1985-01-07,hamilton,0.8333333333333334,16.0,0.2631578947368421,345
26488,1131,1,131,44,0.25,4,4,4,12.0,71,+23.142,5085940,61,7,1:09.562,223.466,1,12,2024,11,70,0.392,0.5217391304347826,0.85,0.09476181648309273,0.21052631578947367,1985-01-07,hamilton,0.8333333333333334,6.0,0.17543859649122803,345
26664,1139,1,131,44,0.8500000000000001,\N,R,20,0.0,1,\N,\N,\N,0,\N,\N,20,0,2024,19,69,0.392,0.47826086956521746,0.87,0.26490958195052194,0.9473684210526316,1985-01-07,hamilton,0.8333333333333334,6.0,0.1244019138755981,345
26694,1141,1,131,44,0.7000000000000001,10,10,10,1.0,69,+50.753,7665183,69,9,1:22.041,189.081,1,1,2024,21,18,0.256,0.4510869565217392,0.875,0.6604345092188447,0.7894736842105263,1985-01-07,hamilton,0.8333333333333334,11.0,0.26973684210526316,345
26736,1143,1,131,44,0.30000000000000004,12,12,12,0.0,57,+56.122,5521445,52,9,1:23.865,232.616,1,0,2024,23,78,0.312,0.5760869565217391,0.88,0.10843651214571229,0.2631578947368421,1985-01-07,hamilton,0.8333333333333334,6.0,0.47368421052631576,345
25152,1061,4,214,14,0.35000000000000003,7,7,7,6.0,52,+1:12.093,7175377,48,10,1:31.698,231.276,1,6,2021,10,9,0.12,0.0923913043478261,0.8025,0.212586487123355,0.5263157894736843,1981-07-29,alonso,0.8749999999999999,7.0,0.3931888544891641,20
25233,1065,4,214,14,0.5,8,8,8,4.0,53,+17.201,4931566,52,7,1:25.472,243.995,1,4,2021,14,14,0.21600000000000003,0.3369565217391305,0.8125,0.2607352846647115,0.631578947368421,1981-07-29,alonso,0.8749999999999999,11.0,0.458204334365325,20
25334,1071,4,214,14,0.6000000000000001,9,9,9,2.0,70,\N,\N,37,12,1:13.922,209.848,11,2,2021,19,18,0.11199999999999999,0.08695652173913045,0.8250000000000001,0.212968910055747,0.47368421052631576,1981-07-29,alonso,0.8749999999999999,12.0,0.33126934984520123,20
25484,1077,4,214,14,0.45,\N,R,19,0.0,6,\N,\N,5,19,1:39.685,177.282,130,0,2022,4,21,0.048,0.2173913043478261,0.8425,0.3958215697346132,0.21052631578947367,1981-07-29,alonso,0.9166666666666666,9.0,0.34210526315789475,20
